incident_id,match,stage,minute,favored_team,underdog_team,team_benefited,team_hurt,incident_type,decision,favored_team_benefited,score,call_correctness,confidence,video_timestamp,VAR_involved,standard_fit,notes
RSA-CAN-R32-01,south africa vs canada,R32,45,canada,south africa,south africa,canada, Potential Penalty, No Penalty,False,-2.0,0.3,0.7, 5:30,False,0.5,South African Defender impeded Canadian attacker in the box by putting his leg in front of the attacker. Canadian attacker had a crossing opportunity. 
BRA-JPN-R32-01,brazil vs japan,R32,22,brazil,japan,japan,brazil, Foul, No Free Kick,False,-1.0,0.7,0.8, 8:17,False,-0.4,"Brazilian attacker fell after a Japanese defender slid into him just outside the right side of the box. While the defender made no contact on the ball, the attacker had little opportunity and kicked the ball ahead to draw the contact. No foul is likely the correct call."
GER-PAR-R32-01,germany vs paraguay,R32,97,germany,paraguay,paraguay,germany, Potential Penalty, No Penalty,False,-3.0,0.8,0.5, 11:40,False,-0.5,"Potential handball that blocked a German shot. Looked accidental and it can be argued that his arm was in a natural position, but strange not to check VAR."
GER-PAR-R32-02,germany vs paraguay,R32,101,germany,paraguay,paraguay,germany, Foul, Goal Disallowed,False,-4.0,0.35,0.7, 13:15,True,0.9,"German attacker fouled Paraguayan Goalkeeper while the ball was in the air before the goal. VAR was involved and the goal was disallowed. Very weak foul, if at all. German attacker had one arm on the goalkeeper who went down very easily. Even Schmeichel believes this was the wrong call."
MEX-ECU-R32-01,mexico vs ecuador,R32,19,mexico,ecuador,mexico,ecuador, Foul, Free Kick,True,1.0,0.8,0.8, 3:38,False,0.7,"Mexican attacker was pushed off ball by Ecuadorian defender. From my view, it was a normal shoulder to shoulder contact, but the defender did push the attacker off the ball. Most likey the correct call, but a bit strict from the ref."
USA-BIH-R32-01,usa vs bosnia and herzegovina,R32,28,usa,bosnia and herzegovina,bosnia and herzegovina,usa, Potential Penalty, No Penalty,False,-3.0,0.8,0.9, 3:00,False,-0.5,"Balogun tripped in the box. Probably had a good opportunity on goal. Weak foul and he went down easily. No penalty is likely the correct call, but slightly lenient."
USA-BIH-R32-02,usa vs bosnia and herzegovina,R32,60,usa,bosnia and herzegovina,bosnia and herzegovina,usa, Foul, Red Card,False,-3.0,0.7,0.6, 7:08,True,0.8,"Balogun challenge on Bosnian defender led to studs up contact. Bosnian defender badly injured. However, it is clear that it was an accident on Balogun's part. He was trying to win the ball and it was a 50/50 challenge. Red card is a harsh call, though defensible. A yellow card is likely the correct call."
USA-BIH-R32-03,usa vs bosnia and herzegovina,R32,78,usa,bosnia and herzegovina,usa,bosnia and herzegovina, Foul, No Free Kick,True,1.0,0.4,0.7, 9:39,False,-0.5,Late challenge by USA player. Bosnian player was bodied after passing the ball but referee waves it off. Lenient no foul.
USA-BIH-R32-04,usa vs bosnia and herzegovina,R32,80,usa,bosnia and herzegovina,usa,bosnia and herzegovina, Foul, Yellow Card,True,2.0,0.5,0.6, 10:25,False,0.5,"Bosnian Defender gets called for a holding foul on Dest. Foul and yellow card given. Very soft holding foul, and Dest was unlikely to reach the ball anyways. Given a free kick that leads to a goal. Defensible, but I think its 50/50 and leans strict, and impactful given it leads to a goal."
POR-CRO-R32-01,portugal vs croatia,R32,63,portugal,croatia,portugal,croatia, Potential Penalty, Penalty,True,3.0,0.8,0.9, 9:10,True,0.5,"Croatian Defender holds Veiga, preventing him from attempting a header that he likely would have scored on. Penalty is the call, and VAR was involved. Strict call, but likely correct."
SUI-ALG-R32-01,switzerland vs algeria,R32,6,switzerland,algeria,switzerland,algeria, Foul, No Free Kick,True,2.0,0.4,0.7, 0:48,False,-0.7,Algerian attacker almost through on goal is tripped up by Swiss defender. Would have been an early free kick right outside the box. Referee waves it off. Lenient no foul that could have been impactful.
AUS-EGY-R32-01,australia vs egypt,R32,53,egypt,australia,egypt,australia, Foul, No Yellow Card,True,1.0,0.5,0.6, 6:30,False,-0.4,"Australian attacker fouled by Egyptian defender, who appears to make little attempt on the ball. Australia was in a good position to score, and the Egyptian defender was lucky to get away with no card. Foul given but lenient for no yellow card."
AUS-EGY-R32-02,australia vs egypt,R32,87,egypt,australia,egypt,australia, Foul, Free Kick,True,1.0,0.8,0.7, 8:14,False,0.5,"Australian attacker puts a hand on Egypt defender's back who goes down easily. Referee awards Egypt the foul, ending Australia's press, but I think its really weak."
ARG-CPV-R32-01,argentina vs cape verde,R32,16,argentina,cape verde,argentina,cape verde, Foul, Free Kick,True,2.0,0.2,0.6, 1:34,False,0.8,"Cape Verdean defender makes tackle on Messi. Cape Verdean defender appears to make contact with the ball only, and then Messi trips over the defender's leg. Referee awards a free kick to Argentina in a good position despite it being an apparently clean challenge."
ARG-CPV-R32-02,argentina vs cape verde,R32,67,argentina,cape verde,argentina,cape verde, Foul, Yellow Card,True,1.0,0.4,0.6, 8:21,False,0.9,Cape Verdean defender is booked for a shirt tug and putting an arm on Messi's shoulder while challenging for the ball. Referee gives a yellow card to the Cape Verdean defender. Soft foul and softer yellow card.
ARG-CPV-R32-03,argentina vs cape verde,R32,72,argentina,cape verde,argentina,cape verde, Game Management, Whistle Blown Before Keeper Appears Ready,True,1.0,0.7,0.5, 9:10,False,-0.75,"Strangely, the referee blows the whistle for a free kick while Vozinha is instructing his wall. A dangerous free kick is given to Argentina, and the whistle was blown early, before the keeper appeared ready. While there is no rule against this, it is a strange call and could have been impactful if the Vozinha did not make the save anyway."
ARG-CPV-R32-04,argentina vs cape verde,R32,97,argentina,cape verde,argentina,cape verde, Foul, No Free Kick,True,1.5,0.1,0.8, 13:21,False,-1.0,"Cape Verdean attacker is clearly fouled by Argentinian defender on the edge of the box. Referee waves it off, and the Cape Verdean attacker is denied a good opportunity on goal. Lenient no foul that could have been impactful."
CIV-NOR-R32-01,norway vs ivory coast,R32,22,norway,ivory coast,norway,ivory coast, Foul, No Yellow Card,True,1.0,0.5,0.7, 2:35,False,-0.4,"Nusa has has pocket picked and Ivory Coast nearly gets a break on goal but Wolfe uses his body to stop the Ivory Coast attacker. Its given as a foul, but I think a yellow card would have been more fair for stopping a promising attack."
ENG-COD-R32-01,england vs dr congo,R32,42,england,dr congo,dr congo,england, Potential Penalty, No Penalty,False,-3.0,0.4,0.5, 6:54,True,-0.7,"Harry Kane through on goal is tripped up by the goalkeeper's dive towards the ball. Referee says that Kane was falling before the keeper's contact, so it is simulation and no penalty. VAR finds no clear and obvious error. Kane's foot does strike the ground and he is off balance before the keeper's arm gets his foot, but he is certainly taken down by the keeper and therefor this probably should be a penalty."
ESP-AUT-R32-02,spain vs austria,R32,29,spain,austria,austria,spain, Foul, Goal Disallowed,False,-3.5,0.8,0.7, 3:50,True,0.3,"Off a Spain corner, Cubarasi pretty clearly and intentionally jumps in the path of the goalkeeper to stop him from fully clearing the ball which leads to a Spain goal. While maybe soft,I think this leads on the side of a fair call."
BEL-SEN-R32-01,belgium vs senegal,R32,88,belgium,senegal,belgium,senegal, Foul, No Free Kick,True,3.0,0.5,0.6, 11:11,False,-0.7,"Tielemans makes substantial contact and knocks over the defender when going for the header which led to a goal. Goal is allowed, but certainly would have beem reasonable to call this back for a foul in build up."
BEL-SEN-R32-02,belgium vs senegal,R32,118,belgium,senegal,belgium,senegal, Potential Penalty, Penalty,True,4.0,0.7,0.7, 15:05,True,0.7,"Tielemans places his foot between the ball and the defender's sliding attempt at clearing the ball. while accidental, the defender certainly did swipe Tieleman's foot. The only reason I lean towards strict is that the defender committed to the clearance as Tieleman's inserted his foot, essentially initiating the contact. This is the last kick of the game and handed Belgium the win."
COL-GHA-R32-01,colombia vs ghana,R32,8,colombia,ghana,ghana,colombia, Potential Penalty, No Penalty,False,-3.0,0.8,0.6, 1:55,False,-0.2,"Luis Diaz falls down in the box after attempting a cut and then running into the defender's extended arm. Its not 100 percent clear if Luis Diaz was seriously impeded, as the defender left his arm and did not let Diaz pass. Could be argued it was in a natural position and Diaz initiated contact, would've been a soft pen but I see it."
CAN-MAR-R16-01,canada vs morocco,R16,10,morocco,canada,morocco,canada, Foul, No Free Kick,True,1.0,0.4,0.4, 1:58,False,-0.2,Canadian attacker goes down and calls for a foul which isn't given. Looks like a foul but camera angle isn't conclusive.
CAN-MAR-R16-02,canada vs morocco,R16,10,morocco,canada,morocco,canada, Foul, Free Kick,True,1.0,0.5,0.4, 2:02,False,0.3,"Immediately after, the same attacker goes for a slide tackle where it looks like he gets ball, but its called a foul and Canada's press is ended."
CAN-MAR-R16-03,canada vs morocco,R16,10,morocco,canada,morocco,canada, Foul, Yellow Card,True,1.0,0.4,0.8, ??,False,0.8,"Canadian attacker fouls Moroccan goalkeeper in a scramble after a bad back pass. While foul is the right call, a yellow card is quite strict given it was accidental and the contact wasn't heavy."
PAR-FRA-R16-01,france vs paraguay,R16,18,france,paraguay,paraguay,france, Foul, Yellow Card,False,-1.0,0.4,0.6, 1:50,False,0.7,Barcola clips Caceres' foot while they both challenge for the ball. Caceres throws himself into the air and on the ground and Barcola is given a yellow. Pretty clear dive and a weak yellow. 
PAR-FRA-R16-02,france vs paraguay,R16,33,france,paraguay,paraguay,france, Foul, No Yellow Card,False,-1.0,0.5,0.8, 3:00,False,-0.6,"Mbappe has his shirt tugged with two hands off the ball, and then the defender shoves him after the whistle. Foul given, but no yellow card for any of that feels lenient."
PAR-FRA-R16-03,france vs paraguay,R16,38,france,paraguay,paraguay,france, Foul, No Free Kick,False,-1.0,0.2,0.8, 4:36,False,-0.9,Paraguayan defender seems to just swing at Mbappe while they are both off ball and hit him in the arm? Mbappe goes down easy but the Paraguayan player literally lifted his arm and swung at Mbappe in front of the ref. Bizarre no call.
PAR-FRA-R16-04,france vs paraguay,R16,50,france,paraguay,france,paraguay, Handball, No Free Kick,True,1.0,0.1,0.9, 6:12,False,-0.1,"Mbappe controls the ball with his arm, which is missed by the ref and France end up awarded a corner at the end of the play. No goal arises but wrong call nonetheless."
PAR-FRA-R16-05,france vs paraguay,R16,76,france,paraguay,paraguay,france, Game Management, No Yellow Card,False,-1.0,0.3,0.8, 11:49,False,-0.7,"Mbappe fouls Caceres, which the ref awards. While on the ground, Caceres kicks Mbappe's leg in retaliation and receives no punishment."
PAR-FRA-R16-06,france vs paraguay,R16,96,france,paraguay,paraguay,france, Game Management, Yellow Card,False,-1.0,0.1,0.8, 15:15,False,0.5,"Olise fouls Galarza, which the ref awards. Galarza gets up and scuffles with Olise, before throwing himself to the ground and holding his face. Olise is given a yellow, but replay confirms Olise never touched Galarza (who instigated the fight in the first place)."
PAR-FRA-R16-07,france vs paraguay,R16,67,france,paraguay,france,paraguay, Potential Penalty, Penalty,True,4.0,0.9,0.9, 15:15,True,0.1,Doue is tripped in the box by Paraguay defender. Ref initially waves it off but VAR intervenes and the incident is reviewed for a penalty which is awarded to France. It is pretty clear Doue was fouled. This proved to be the game winning goal for France.
BRA-NOR-R16-01,brazil vs norway,R16,9,brazil,norway,brazil,norway, Potential Penalty, Penalty,True,3.0,0.75,0.8, 1:53,True,0.2,Norwegian defender makes glancing contact on the ball when slide tackling and takes down Cunha in the box. Penalty is probably the right call.
BRA-NOR-R16-02,brazil vs norway,R16,97,brazil,norway,brazil,norway, Potential Penalty, Penalty,True,2.0,0.5,0.9, 16:05,True,0.8,"Casemiro and Norwegian defender clash for a header in the box. Norwegian defender accidentally elbows Casemiro in the head. Penalty awarded to Brazil. Very soft, but also just a consolation goal for Neymar as Brazil has no chance of winning this game at this point regardless."
USA-BEL-R16-01,usa vs belgium,R16,29,belgium,usa,usa,belgium, Foul, Free Kick,False,-2.0,0.8,0.6, 4:03,False,0.4,"Balogun fouled outside the box, referee awards dangerous free kick to the USA which they score. Was a soft foul, but probably a foul nonetheless. Replay is a little unclear"
USA-BEL-R16-02,usa vs belgium,R16,51,belgium,usa,belgium,usa, Foul, No Free Kick,True,1.0,0.65,0.5, 8:29,False,-0.5,"Pulisic kicks Tielemans' leg when attempting a shot. Tielemans appears to place his leg in front of Pulisic's swinging motion, and makes no contact on the ball. No foul might be correct because it can be argued Tielemans' foot was in a legal position, and Pulisic unfortunately kicked him by accident, but its close and resulted in an injury for Pulisic. Right outside the box too."
SUI-COL-R16-01,switzerland vs colombia,R16,91,colombia,switzerland,switzerland,colombia, Potential Penalty, No Penalty,False,-3.0,0.4,0.5, 11:10,False,-0.8,"In a 50/50 play in the box, Colombian attacker gets to the ball first and then falls over a trailing leg of the defender. Ref likely considered the defender's leg to be in a natural position, but its close and no VAR for such a big call in ET is odd."
MEX-ENG-R16-01,mexico vs england,R16,54,england,mexico,mexico,england, Foul, Red Card,False,-3.0,0.7,0.8, 9:34,True,0.8,"Quansah receives a red after ref initally waves off a sliding challenge. Video review shows that Quansah's tackle got the ball first, but went over and he went studs up into the attacker's leg. Certainly a rough challenge, but I am not 100 percent on the red, though it is a defensible call."
MEX-ENG-R16-02,mexico vs england,R16,57,england,mexico,england,mexico, Potential Penalty, Penalty,True,3.0,0.9,0.7, 10:28,False,0.1,Penalty given to England. Likely the correct call but Gordon intentionally drew contact.
MEX-ENG-R16-03,mexico vs england,R16,66,england,mexico,mexico,england, Potential Penalty, Penalty,False,-3.0,0.8,0.7, 12:17,True,0.3,"Penalty given to Mexico after the attacker's foot is kicked by Kane's attempt to clear the ball. It was certainly 50/50, accidental contact but the mexican attacker definitely gets the ball and Kane strikes his foot. Maybe strict but probably right."
ARG-EGY-R16-01,argentina vs egypt,R16,18,argentina,egypt,argentina,egypt, Potential Penalty, Penalty,True,3.0,0.7,0.65, 3:40,False,0.3,"Penalty given to Argentina. Tagliafico seems to lunge into the defender's attempt on the ball, who seemed unaware that Tagliafico was headed toward the ball. While an earned penalty, I think it may border on the attacker manufacturing the contact himself."
ARG-EGY-R16-02,argentina vs egypt,R16,57,argentina,egypt,argentina,egypt, Foul, Goal Disallowed,True,3.5,0.4,0.8, 9:30,True,1.0,"One of the most egregious calls of this whole tournament, VAR intervenes and disallows Egypt's goal from a foul that occurred 80 yards away and at least 15 seconds before the goal that the referee himself misses. While the foul itself is debatably there, the fact VAR was used in this way is astonishing."
ARG-EGY-R16-03,argentina vs egypt,R16,91,argentina,egypt,argentina,egypt, Potential Penalty, No Penalty,True,4.0,0.65,0.6, 15:20,False,-0.5,"Two potential fouls in argentina's box which directly led to the counter attack that gave argentina the game winning goal. One of them is on Mo Salah while he attempts to dribble further into the box. Though minor, clearly we are willing to disallow goals over minor contact so why is it not consistent both ways?"
ARG-SUI-QF-01,argentina vs switzerland,QF,70,argentina,switzerland,argentina,switzerland, Foul, Second Yellow Card,True,3.0,0.8,0.9, 7:59,True,0.8,"Embolo receives a second yellow card for simulation after VAR intervenes for mistaken identity. While technically a defensible yellow card and subsequent sending off, again a strange use of VAR to give a player a red."
NOR-ENG-QF-01,norway vs england,QF,56,england,norway,england,norway, Foul, Goal Disallowed,True,3.5,0.8,0.7, 10:00,True,0.9,"Norway's goal disallowed after a shove from Haaland on an english defender before the whistle for a corner. Again, while technically correct, pushing and shoving is very common leading up to corner kicks, and this is just strict enforcement of a rule that is often overlooked."
