incident_id,match,stage,minute,favored_team,underdog_team,team_benefited,team_hurt,incident_type,decision,favored_team_benefited,score,call_correctness,confidence,video_timestamp,VAR_involved,standard_fit,notes
RSA-CAN-R32-01,"sOuth Africa Vs Canada", R32, 45, Canada, South Africa, South Africa, Canada, Potential Penalty, No Penalty, FALSE, -2, 0.3, 0.7, 5:30, FALSE, 0.5,"South African Defender impeded Canadian attacker in the box by putting his leg in front of the attacker. Canadian attacker had a crossing opportunity. "
BRA-JPN-R32-01,"Brazil Vs Japan", R32, 22, Brazil, Japan, Japan, Brazil, Foul, No Free Kick, FALSE, -1, 0.7, 0.8, 8:17, FALSE, -0.4,"Brazilian attacker fell after a Japanese defender slid into him just outside the right side of the box. While the defender made no contact on the ball, the attacker had little opportunity and kicked the ball ahead to draw the contact. No foul is likely the correct call."
GER-PAR-R32-01,"Germany Vs Paraguay", R32, 97, Germany, Paraguay, Paraguay, Germany, Potential Penalty, No Penalty, FALSE, -3, 0.8, 0.5, 11:40, FALSE, -0.5,"Potential handball that blocked a German shot. Looked accidental and it can be argued that his arm was in a natural position, but strange not to check VAR."
GER-PAR-R32-02,"Germany Vs Paraguay", R32, 101, Germany, Paraguay, Paraguay, Germany, Foul, Goal Disallowed, FALSE, -4, 0.35, 0.7, 13:15, TRUE, 0.9,"German attacker fouled Paraguayan Goalkeeper while the ball was in the air before the goal. VAR was involved and the goal was disallowed. Very weak foul, if at all. German attacker had one arm on the goalkeeper who went down very easily. Even Schmeichel believes this was the wrong call."
MEX-ECU-R32-01,"Mexico Vs Ecuador", R32, 19, Mexico, Ecuador, Mexico, Ecuador, Foul, Free Kick, TRUE, 1, 0.8, 0.8, 3:38, FALSE, 0.7,"Mexican attacker was pushed off ball by Ecuadorian defender. From my view, it was a normal shoulder to shoulder contact, but the defender did push the attacker off the ball. Most likey the correct call, but a bit strict from the ref."
USA-BIH-R32-01, USA Vs Bosnia and Herzegovina, R32, 28, USA, Bosnia and Herzegovina, Bosnia and Herzegovina, USA, Potential Penalty, No Penalty, FALSE, -3, 0.8, 0.9, 3:00, FALSE, -0.5,"Balogun tripped in the box. Probably had a good opportunity on goal. Weak foul and he went down easily. No penalty is likely the correct call, but slightly lenient."
USA-BIH-R32-02, USA Vs Bosnia and Herzegovina, R32, 60, USA, Bosnia and Herzegovina, Bosnia and Herzegovina, USA, Foul, Red Card, FALSE, -3, 0.7, 0.6, 7:08, TRUE, 0.8,"Balogun challenge on Bosnian defender led to studs up contact. Bosnian defender badly injured. However, it is clear that it was an accident on Balogun's part. He was trying to win the ball and it was a 50/50 challenge. Red card is a harsh call, though defensible. A yellow card is likely the correct call."
USA-BIH-R32-03, USA Vs Bosnia and Herzegovina, R32, 78, USA, Bosnia and Herzegovina, USA, Bosnia and Herzegovina, Foul, No Free Kick, TRUE, 1, 0.4, 0.7, 9:39, FALSE, -0.5,"Late challenge by USA player. Bosnian player was bodied after passing the ball but referee waves it off. Lenient no foul."
USA-BIH-R32-04, USA Vs Bosnia and Herzegovina, R32, 80, USA, Bosnia and Herzegovina, USA, Bosnia and Herzegovina, Foul, Yellow Card, TRUE, 2, 0.5, 0.6, 10:25, FALSE, 0.5,"Bosnian Defender gets called for a holding foul on Dest. Foul and yellow card given. Very soft holding foul, and Dest was unlikely to reach the ball anyways. Given a free kick that leads to a goal. Defensible, but I think its 50/50 and leans strict, and impactful given it leads to a goal."
POR-CRO-R32-01, Portugal Vs Croatia, R32, 63, Portugal, Croatia, Portugal, Croatia, Potential Penalty, Penalty, TRUE, 3, 0.8, 0.9, 9:10, TRUE, 0.5,"Croatian Defender holds Veiga, preventing him from attempting a header that he likely would have scored on. Penalty is the call, and VAR was involved. Strict call, but likely correct."
SUI-ALG-R32-01, Switzerland Vs Algeria, R32, 6, Switzerland, Algeria, Switzerland, Algeria, Foul, No Free Kick, True, 2, 0.4, 0.7, 0:48, FALSE, -0.7,"Algerian attacker almost through on goal is tripped up by Swiss defender. Would have been an early free kick right outside the box. Referee waves it off. Lenient no foul that could have been impactful."
AUS-EGY-R32-01, Australia Vs Egypt, R32, 53, Egypt, Australia, Egypt, Australia, Foul, No Yellow Card, TRUE, 1, 0.5, 0.6, 6:30, FALSE, -0.4,"Australian attacker fouled by Egyptian defender, who appears to make little attempt on the ball. Australia was in a good position to score, and the Egyptian defender was lucky to get away with no card. Foul given but lenient for no yellow card."
AUS-EGY-R32-02, Australia Vs Egypt, R32, 87, Egypt, Australia, Egypt, Australia, Foul, Free Kick, TRUE, 1, 0.8, 0.7, 8:14, FALSE, 0.5,"Australian attacker puts a hand on Egypt defender's back who goes down easily. Referee awards Egypt the foul, ending Australia's press, but I think its really weak."
ARG-CPV-R32-01, Argentina Vs Cape Verde, R32, 16, Argentina, Cape Verde, Argentina, Cape Verde, Foul, Free Kick, TRUE, 2, 0.2, 0.6, 1:34, FALSE, 0.8,"Cape Verdean defender makes tackle on Messi. Cape Verdean defender appears to make contact with the ball only, and then Messi trips over the defender's leg. Referee awards a free kick to Argentina in a good position despite it being an apparently clean challenge."
ARG-CPV-R32-02, Argentina Vs Cape Verde, R32, 67, Argentina, Cape Verde, Argentina, Cape Verde, Foul, Yellow Card, TRUE, 1, 0.4, 0.6, 8:21, FALSE, 0.9,"Cape Verdean defender is booked for a shirt tug and putting an arm on Messi's shoulder while challenging for the ball. Referee gives a yellow card to the Cape Verdean defender. Soft foul and softer yellow card."
ARG-CPV-R32-03, Argentina Vs Cape Verde, R32, 72, Argentina, Cape Verde, Argentina, Cape Verde, Game Management, Whistle Blown Before Keeper Appears Ready, TRUE, 1, 0.7, 0.5, 9:10, FALSE, -0.75,"Strangely, the referee blows the whistle for a free kick while Vozinha is instructing his wall. A dangerous free kick is given to Argentina, and the whistle was blown early, before the keeper appeared ready. While there is no rule against this, it is a strange call and could have been impactful if the Vozinha did not make the save anyway."
ARG-CPV-R32-04, Argentina Vs Cape Verde, R32, 97, Argentina, Cape Verde, Argentina, Cape Verde, Foul, No Free Kick, TRUE, 1.5, 0.1, 0.8, 13:21, FALSE, -1,"Cape Verdean attacker is clearly fouled by Argentinian defender on the edge of the box. Referee waves it off, and the Cape Verdean attacker is denied a good opportunity on goal. Lenient no foul that could have been impactful."
#ARG-CPV-R32-05, Argentina Vs Cape Verde, R32, 123, Argentina, Cape Verde, Argentina, Cape Verde, Game Management, 3 Minutes Added + Ended on offensive throw-in, TRUE, 1, 0.4, 0.35, 25:34, FALSE, -0.4,"Despite a goal, injuries and substitues, the referee adds only 3 minutes of stoppage time, and ends the game on an offensive throw-in in the final third for Cape Verde. While this is not a rule violation, it is strange to end the game on an offensive throw-in, and could have been impactful if Cape Verde had scored on the throw-in."
CIV-NOR-R32-01, Norway vs Ivory coast, r32, 22, Norway, Ivory Coast, Norway, Ivory Coast, Foul, No Yellow Card, True, 1, 0.5, 0.7, 2:35, FALSE, -0.4,"Nusa has has pocket picked and Ivory Coast nearly gets a break on goal but Wolfe uses his body to stop the Ivory Coast attacker. Its given as a foul, but I think a yellow card would have been more fair for stopping a promising attack."
